Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Office for Lease - 9/16/2016,4,2,McCarty Building,202 9th Street,Suite 204A/204B,Boise,Idaho,83702     ,30591 SF,564 SF,Office for Lease - 9/16/2016,Office Building,Negotiable,Negotiable,,Full Service,19713399,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Nice two room suite with interior connecting door.  Great for 2+ person firm.  Can be separately leased.  Great windows on 9th Street. Lease Term 1-60 mos.,http://www.loopnet.com/lid/19713399,
Office for Lease - 9/16/2016,4,3,McCarty Building,202 9th Street,303B,Boise,Idaho,83702     ,30591 SF,303 SF,Office for Lease - 9/16/2016,Office Building,$1.42 /SF/Mo,$17.03 /SF/Yr,,Full Service,19713399,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Smaller single office near beautiful stair to 3rd Floor. Lease Terms 1-60 mos.,http://www.loopnet.com/lid/19713399,
Office for Lease - 9/16/2016,4,4,McCarty Building,202 9th Street,204,Boise,Idaho,83702     ,30591 SF,280 SF,Office for Lease - 9/16/2016,Office Building,$1.61 /SF/Mo,$19.29 /SF/Yr,,Full Service,19713399,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Nice single office with west views from large window.,http://www.loopnet.com/lid/19713399,
Office for Lease - 9/16/2016,6,1,Tenth & Main,1001 W. Main Street,Restaurant,Boise,Idaho,83702     ,43427 SF,4275 SF,Office for Lease - 9/16/2016,Office Building,$1.83 /SF/Mo,$22 /SF/Yr,,NNN,20206948,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20206948,
Office for Lease - 9/16/2016,6,2,Tenth & Main,1001 W. Main Street,4th Flr,Boise,Idaho,83702     ,43427 SF,11144 SF,Office for Lease - 9/16/2016,Office Building,$1.83 /SF/Mo,$22 /SF/Yr,,Full Service,20206948,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20206948,
Office for Lease - 9/16/2016,6,3,Tenth & Main,1001 W. Main Street,3rd Flr,Boise,Idaho,83702     ,43427 SF,11144 SF,Office for Lease - 9/16/2016,Office Building,$1.83 /SF/Mo,$22 /SF/Yr,,Full Service,20206948,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20206948,
Office for Lease - 9/16/2016,6,4,Tenth & Main,1001 W. Main Street,2nd Flr,Boise,Idaho,83702     ,43427 SF,11144 SF,Office for Lease - 9/16/2016,Office Building,$1.83 /SF/Mo,$22 /SF/Yr,,Full Service,20206948,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20206948,
Office for Lease - 9/16/2016,6,5,Tenth & Main,1001 W. Main Street,Suite C,Boise,Idaho,83702     ,43427 SF,1556 SF,Office for Lease - 9/16/2016,Office Building,$1.50 /SF/Mo,$18 /SF/Yr,,NNN,20206948,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20206948,
Office for Lease - 9/16/2016,6,6,Tenth & Main,1001 W. Main Street,Suite E,Boise,Idaho,83702     ,43427 SF,1092 SF,Office for Lease - 9/16/2016,Office Building,$1.50 /SF/Mo,$18 /SF/Yr,,NNN,20206948,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/20206948,
Office for Lease - 9/16/2016,1,1,Fort Street Office Plaza,1303 Fort St,Space 1,Boise,Idaho,83702     ,5640 SF,2150 SF,Office for Lease - 9/16/2016,Office Building,$0.93 /SF/Mo,$11.16 /SF/Yr,,Modified Gross,20306062,StacyA McBain,Swope Investment Properties,stacy@inflowpr.com,(208) 921-0630, ,http://www.loopnet.com/lid/20306062,
Office for Lease - 9/16/2016,1,1,Capitol Terrace,100-190 N 8th St,Retail #160,Boise,Idaho,83702     ,43852 SF,1722 SF,Office for Lease - 9/16/2016,Street Retail,Negotiable,Negotiable,,NNN,20302044,Julie Culver,Hawkins Companies,jculver@hcollc.com,(208) 376-8522 Ext: 5614, ,http://www.loopnet.com/lid/20302044,
Office for Lease - 9/16/2016,1,1,The Fowler,401 S 5th St,1-5,Boise,Idaho,83702     ,224115 SF,670 SF,Office for Lease - 9/16/2016,Retail (Other),Negotiable,Negotiable,,Other,20266531,Katherine Vila,LocalConstruct,katie@localconstruct.com,(208) 918-1036, ,http://www.loopnet.com/lid/20266531,
Office for Lease - 9/16/2016,1,1,Belgravia - Unit 8,451-455 W. Main Street,455,Boise,Idaho,83702     ,1491 SF,911 SF,Office for Lease - 9/16/2016,Office Building,$1.54 /SF/Mo,$18.44 /SF/Yr,,Modified Gross,20206949,John Stevens,Thornton Oliver Keller,john@tokcommercial.com,(208) 947-0814, ,http://www.loopnet.com/lid/20206949,
Office for Lease - 9/16/2016,2,1,417 S 13th St Gorgeous Historic Office!,417 S 13th St,100,Boise,Idaho,83702     ,1450 SF,900 SF,Office for Lease - 9/16/2016,Creative/Loft,$1.22 /SF/Mo,$14.67 /SF/Yr,,Modified Gross,20199225,Debowden Bauer,Atova Inc.,dbauer@atova.com,(208) 573-4487,Lessor provides Sewer/Trash,http://www.loopnet.com/lid/20199225,
Office for Lease - 9/16/2016,2,2,417 S 13th St Gorgeous Historic Office!,417 S 13th St,200,Boise,Idaho,83702     ,1450 SF,550 SF,Office for Lease - 9/16/2016,Creative/Loft,$0.86 /SF/Mo,$10.36 /SF/Yr,,Modified Gross,20199225,Debowden Bauer,Atova Inc.,dbauer@atova.com,(208) 573-4487,Lessor provides Sewer/Trash,http://www.loopnet.com/lid/20199225,
Office for Lease - 9/16/2016,1,1,Cole Professional Campus,2308 N Cole Rd,E,Boise,Idaho,83704     ,6658 SF,668 SF,Office for Lease - 9/16/2016,Office Building,$0.82 /SF/Mo,$9.88 /SF/Yr,, ,20182179,Steve French,COMPANY NAME NOT PRESENT,admin@swfrenchlaw.com,(208) 321-7373, ,http://www.loopnet.com/lid/20182179,
Office for Lease - 9/16/2016,1,1,,300 N Orchard St,Space 1,Boise,Idaho,83706     ,5270 SF,5270 SF,Office for Lease - 9/16/2016,Office Building,$0.75 /SF/Mo,$9 /SF/Yr,,Modified Gross,20166500,Roger Titmus,Stinker Stores,rtitmus@stinker.com,(208) 337-2830, ,http://www.loopnet.com/lid/20166500,
Office for Lease - 9/16/2016,3,1,600 Curtis,600 N. Curtis Road,125,Boise,Idaho,83706     ,39000 SF,805 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,20010954,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/20010954,
Office for Lease - 9/16/2016,3,2,600 Curtis,600 N. Curtis Road,145,Boise,Idaho,83706     ,39000 SF,1627 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,20010954,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/20010954,
Office for Lease - 9/16/2016,3,3,600 Curtis,600 N. Curtis Road,245,Boise,Idaho,83706     ,39000 SF,1120 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,20010954,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/20010954,
Office for Lease - 9/16/2016,1,1,6887 Fairview Avenue,6887 W. Fairview Avenue,1/2,Boise,Idaho,83704     ,4935 SF,3290 SF,Office for Lease - 9/16/2016,Retail (Other),$1.42 /SF/Mo,$17 /SF/Yr,,NNN,19494098,John Stevens,Thornton Oliver Keller,john@tokcommercial.com,(208) 947-0814, ,http://www.loopnet.com/lid/19494098,
Office for Lease - 9/16/2016,1,1,US Bank Plaza,101 S. Capitol Blvd.,500,Boise,Idaho,83702     ,256208 SF,5034 SF,Office for Lease - 9/16/2016,Office Building,$1.50 /SF/Mo,$18 /SF/Yr,,Full Service,19823220,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/19823220,
Office for Lease - 9/16/2016,1,1,Block 44,800-826  Idaho Street,212 9th,Boise,Idaho,83702     ,44202 SF,1446 SF,Office for Lease - 9/16/2016,Retail (Other),$1.33 /SF/Mo,$16 /SF/Yr,,NNN,18405446,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/18405446,
Office for Lease - 9/16/2016,2,1,Kendall Center 7,5461-5527  Kendall Street,5513,Boise,Idaho,83706     ,18773 SF,800 SF,Office for Lease - 9/16/2016,Flex Space,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,16372618,Chris Pearson,Thornton Oliver Keller,chris@tokcommercial.com,(208) 947-0859, ,http://www.loopnet.com/lid/16372618,
Office for Lease - 9/16/2016,2,2,Kendall Center 7,5461-5527  Kendall Street,5503,Boise,Idaho,83706     ,18773 SF,715 SF,Office for Lease - 9/16/2016,Flex Space,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,16372618,Chris Pearson,Thornton Oliver Keller,chris@tokcommercial.com,(208) 947-0859, ,http://www.loopnet.com/lid/16372618,
Office for Lease - 9/16/2016,4,1,Flex Work Space - Building 2,6111 W. Clinton Street,6115,Boise,Idaho,83704     ,9076 SF,1087 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,18649239,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/18649239,
Office for Lease - 9/16/2016,4,2,Flex Work Space - Building 2,6111 W. Clinton Street,6111/6113,Boise,Idaho,83704     ,9076 SF,2365 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,18649239,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/18649239,
Office for Lease - 9/16/2016,4,3,Flex Work Space - Building 2,6111 W. Clinton Street,6134,Boise,Idaho,83704     ,9076 SF,1182 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,18649239,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/18649239,
Office for Lease - 9/16/2016,4,4,Flex Work Space - Building 2,6111 W. Clinton Street,6117,Boise,Idaho,83704     ,9076 SF,1087 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,18649239,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/18649239,
Office for Lease - 9/16/2016,3,1,Simplot Headquarters,1099 W. Front Street,FIELD UNAVAILABLE,Boise,Idaho,83702     ,364000 SF,7500 SF,Office for Lease - 9/16/2016,Office Building,$2.33 /SF/Mo,$28 /SF/Yr,,NNN,19251801,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19251801,
Office for Lease - 9/16/2016,3,2,Simplot Headquarters,1099 W. Front Street,11th - 1,Boise,Idaho,83702     ,364000 SF,2459 SF,Office for Lease - 9/16/2016,Office Building,$1.50 /SF/Mo,$18 /SF/Yr,,NNN,19251801,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19251801,
Office for Lease - 9/16/2016,3,3,Simplot Headquarters,1099 W. Front Street,11th - 2,Boise,Idaho,83702     ,364000 SF,3290 SF,Office for Lease - 9/16/2016,Office Building,$1.50 /SF/Mo,$18 /SF/Yr,,NNN,19251801,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19251801,
Office for Lease - 9/16/2016,23,1,Clint & Graham Building,1365 N. Orchard Street,104,Boise,Idaho,83706     ,24000 SF,112 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,2,Clint & Graham Building,1365 N. Orchard Street,105,Boise,Idaho,83706     ,24000 SF,288 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,3,Clint & Graham Building,1365 N. Orchard Street,108,Boise,Idaho,83706     ,24000 SF,260 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,4,Clint & Graham Building,1365 N. Orchard Street,110,Boise,Idaho,83706     ,24000 SF,231 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,5,Clint & Graham Building,1365 N. Orchard Street,305,Boise,Idaho,83706     ,24000 SF,384 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,6,Clint & Graham Building,1365 N. Orchard Street,102,Boise,Idaho,83706     ,24000 SF,397 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,7,Clint & Graham Building,1365 N. Orchard Street,212,Boise,Idaho,83706     ,24000 SF,768 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,8,Clint & Graham Building,1365 N. Orchard Street,307,Boise,Idaho,83706     ,24000 SF,384 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,9,Clint & Graham Building,1365 N. Orchard Street,309,Boise,Idaho,83706     ,24000 SF,435 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,10,Clint & Graham Building,1365 N. Orchard Street,315,Boise,Idaho,83706     ,24000 SF,264 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,11,Clint & Graham Building,1365 N. Orchard Street,314,Boise,Idaho,83706     ,24000 SF,312 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,12,Clint & Graham Building,1365 N. Orchard Street,318,Boise,Idaho,83706     ,24000 SF,688 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,13,Clint & Graham Building,1365 N. Orchard Street,103,Boise,Idaho,83706     ,24000 SF,288 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,14,Clint & Graham Building,1365 N. Orchard Street,111,Boise,Idaho,83706     ,24000 SF,220 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,15,Clint & Graham Building,1365 N. Orchard Street,113,Boise,Idaho,83706     ,24000 SF,120 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,16,Clint & Graham Building,1365 N. Orchard Street,115,Boise,Idaho,83706     ,24000 SF,144 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,17,Clint & Graham Building,1365 N. Orchard Street,308,Boise,Idaho,83706     ,24000 SF,312 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,18,Clint & Graham Building,1365 N. Orchard Street,211,Boise,Idaho,83706     ,24000 SF,120 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,19,Clint & Graham Building,1365 N. Orchard Street,213,Boise,Idaho,83706     ,24000 SF,172 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,20,Clint & Graham Building,1365 N. Orchard Street,207,Boise,Idaho,83706     ,24000 SF,250 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,21,Clint & Graham Building,1365 N. Orchard Street,200,Boise,Idaho,83706     ,24000 SF,824 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,22,Clint & Graham Building,1365 N. Orchard Street,204,Boise,Idaho,83706     ,24000 SF,336 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,23,23,Clint & Graham Building,1365 N. Orchard Street,205,Boise,Idaho,83706     ,24000 SF,430 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,14182588,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/14182588,
Office for Lease - 9/16/2016,3,1,Curtis Business Plaza,1070 N. Curtis Road,135,Boise,Idaho,83706     ,26040 SF,1359 SF,Office for Lease - 9/16/2016,Medical Office,Negotiable,Negotiable,,NNN,14408167,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/14408167,
Office for Lease - 9/16/2016,3,2,Curtis Business Plaza,1070 N. Curtis Road,140,Boise,Idaho,83706     ,26040 SF,2022 SF,Office for Lease - 9/16/2016,Medical Office,Negotiable,Negotiable,,NNN,14408167,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/14408167,
Office for Lease - 9/16/2016,3,3,Curtis Business Plaza,1070 N. Curtis Road,125,Boise,Idaho,83706     ,26040 SF,4331 SF,Office for Lease - 9/16/2016,Medical Office,Negotiable,Negotiable,,NNN,14408167,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/14408167,
Office for Lease - 9/16/2016,1,1,Westgate Professional Plaza,7964 W. Fairview Avenue,7982 Fairview,Boise,Idaho,83704     ,,1192 SF,Office for Lease - 9/16/2016,Strip Center,$1.04 /SF/Mo,$12.50 /SF/Yr,,Full Service,18089547,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816, ,http://www.loopnet.com/lid/18089547,
Office for Lease - 9/16/2016,2,1,Shops at State & Bloom,5600-5630 W. State Street,8,Boise,Idaho,83703     ,16230 SF,1440 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,14949315,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/14949315,
Office for Lease - 9/16/2016,2,2,Shops at State & Bloom,5600-5630 W. State Street,3,Boise,Idaho,83703     ,16230 SF,1440 SF,Office for Lease - 9/16/2016,Retail (Other),$1 /SF/Mo,$12 /SF/Yr,,NNN,14949315,Brianna Miller,Thornton Oliver Keller,brianna@tokcommercial.com,(208) 947-5519, ,http://www.loopnet.com/lid/14949315,
Office for Lease - 9/16/2016,2,1,Kendall Center 6,5555-5569   Kendall Street,5569,Boise,Idaho,83706     ,12721 SF,4925 SF,Office for Lease - 9/16/2016,Flex Space,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,16372617,Chris Pearson,Thornton Oliver Keller,chris@tokcommercial.com,(208) 947-0859, ,http://www.loopnet.com/lid/16372617,
Office for Lease - 9/16/2016,2,2,Kendall Center 6,5555-5569   Kendall Street,5555,Boise,Idaho,83706     ,12721 SF,1895 SF,Office for Lease - 9/16/2016,Flex Space,$0.55 /SF/Mo,$6.60 /SF/Yr,,NNN,16372617,Chris Pearson,Thornton Oliver Keller,chris@tokcommercial.com,(208) 947-0859, ,http://www.loopnet.com/lid/16372617,
Office for Lease -10k sf,2,1,C.W. Moore Plaza,250 S. 5th Street,301,Boise,Idaho,83702     ,106258 SF,3010 SF,Office for Lease -10k sf,Office Building,$1.83 /SF/Mo,$22 /SF/Yr,,Full Service,20310195,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/20310195,
